name,number sold,highest bid,lowest ask
Jordan 4 Retro Eminem Carhartt,3,"$8,600",None
Nike Dunk SB Low Paris,2,None,None
Nike Air MAG Back To The Future (2016),6,None,None
Air Force 1 Mid Supreme NBA White,2348,$505,$214
Air Force 1 Mid Supreme NBA Black,1333,$451,$209
adidas Human Race NMD Pharrell Holi Festival (Core Black),430,$502,$454
Jordan 9 Retro Bred Patent,1956,$315,$230
Jordan 3 Retro Black Cement (2018),12919,$255,$230
Jordan 1 Retro High Bred Toe,8545,$310,$240
Jordan 1 Retro High Bred Toe (GS),3892,$216,$170
adidas Human Race NMD Pharrell Holi Festival (Chalk Coral),362,$452,$438
adidas Human Race NMD Pharrell Holi Festival (Pink Glow),278,$446,$444
adidas Yeezy Powerphase Calabasas Core Black,280,$260,$165
Air Max 98 Cone,1042,$305,$219
Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box),204,$357,$325
Jordan 1 Retro High NRG Patent Gold Toe,6061,$600,$185
adidas Ultra Boost 4.0 Cookies and Cream,1037,$250,$228
Jordan 9 Retro Bred Patent (GS),599,$175,$160
Vans Old Skool Yacht Club,504,$160,$125
Air Jordan 3 JTH Super Bowl,466,$766,$725
adidas Human Race NMD Pharrell Blank Canvas,1433,$450,$395
Air Max 97/1 Sean Wotherspoon (No Accessories),353,$525,$470
Air VaporMax 97 Japan,202,$280,$168
Jordan 13 Retro White Hyper Royal Black,823,$205,$189
Jordan 1 Retro High Game Royal,289,$288,$245
Vans Sk8-Hi Supreme Skull Pile (Green),572,$250,$140
NikeCourt Vapor RF Air Max 95 Neon,118,$315,$254
Jordan 3 Retro Tinker Hatfield,364,$565,$430
Flyknit Trainer Oreo,862,$185,$160
Jordan 3 Retro Free Throw Line White Cement,2336,$500,$405
Air Max 270 University Gold,52,$200,$150
adidas Dame 4 A Bathing Ape Camo,1382,$500,$250
Jordan 1 Retro High Game Royal (GS),49,$143,$150
adidas NMD R1 Neighborhood Core Black,1102,$350,$249
Air Force 270 Black White,48,$136,$145
Jordan 8 Retro OVO Black,989,$350,$264
Air Max 270 Light Bone Hot Punch,215,$183,$162
Jordan 1 Retro High Off-White White,496,"$1,925","$1,600"
Air Foamposite One Big Bang,2426,$640,$449
Air Safari OG (2018),45,$165,$120
Air Force 1 Low Swoosh Pack All-Star 2018 (Sail),549,$215,$130
adidas I-5923 Neighborhood Core Black,499,$260,$194
Jordan 8 Retro OVO White,1092,$320,$273
Air VaporMax Plus Bleached Aqua (W),363,$301,$274
Air Max 98 Gundam (2018),1171,$314,$265
Vans Slip-On Supreme Skull Pile (Green),375,$230,$137
Jordan 1 Retro Yin Yang White,3470,$131,$107
adidas Ultra Boost 4.0 Core Black,872,$190,$149
Air Force 1 Low Swoosh Pack All-Star 2018 (Black),298,$150,$153
LeBron 15 Rust Pink,144,$275,$165
Jordan 13 Retro OG Chicago (2017),4458,$190,$185
Asics Gel-Lyte III End Wasabi (Special Box),34,$375,$245
Kobe 1 Protro Undefeated Camo,1234,$550,$278
Air Force 1 Low Swoosh Pack All-Star 2018 (White),621,$230,$140
Jordan 10 Retro I'm Back,37,$200,$220
Lebron 15 Mowabb,92,$325,$235
Jordan 6 Retro Chinese New Year (2018),1129,$305,$247
adidas Human Race NMD Pharrell Multi-Color,1777,$401,$360
Nike Zoom Vapor AJ3 Fire Red,643,$250,$135
Air Max 270 Triple Black,44,$160,$145
LeBron 15 Orange Box,25,$375,$300
Air Max 270 Black Hot Punch,126,$170,$189
LeBron 15 Ghost,567,$240,$195
Jordan 4 Retro Royalty,4314,$275,$213
Jordan 12 Retro Flu Game (2016),3294,$271,$265
Jordan 3 Retro Black Cement 2018 (GS),727,$110,$115
Nike Epic React Flyknit White Racer Blue Pink Blast,283,$195,$180
Air VaporMax 2.0 Black Hot Punch,44,$200,$190
Jordan 4 Retro Motorsports (2017),2999,$168,$150
Jordan 1 Retro High OG Sail,1308,$175,$159
Jordan 11 Retro Win Like 96 (GS),970,$185,$175
Air Force 1 Low CLOT 1WORLD (2018),1023,$522,$318
adidas I-5923 Black Boost,75,$98,$106
Jordan 9 Retro City Of Flight,538,$200,$180
Jordan 4 Retro White Cement (2016),2003,$315,$220
Air VaporMax Plus Black Orange Crimson,409,$250,$235
Jordan 4 Retro Royalty (GS),924,$99,$80
Air Vapormax Off White 2018,201,"$1,000",$825
Jordan 4 Retro Royalty (GS),924,$99,$80
Harden Vol. 1 Pioneer,70,$101,$84
Nike Epic React Flyknit College Navy,179,$185,$177
Jordan 11 Retro Low University Blue (2017),4728,$210,$188
Jordan 5 Retro Black Metallic (2016),2667,$265,$189
Kobe 1 Protro Black Maize,987,$251,$190
adidas Human Race NMD Pharrell Oreo,1934,$525,$448
Air Max 1 Anniversary Aqua,220,$180,$110
adidas Ultra Boost 5th Anniversary Black,835,$185,$165
Jordan 3 Retro Golf White Cement,427,$360,$300
Jordan 17 Retro Low SoleFly Alternate Lightning,359,$340,$329
Jordan 13 Retro White Hyper Royal Black (GS),220,$156,$160
Jordan 4 Retro Pure Money (2017),4099,$205,$180
Air Foamposite One Easter 2018 (GS),21,$160,$180
Nike Epic React Flyknit Black Racer Blue,334,$200,$181
Air VaporMax Plus White,290,$230,$215
Air Max 97/1 Sean Wotherspoon (With Accessories),252,$625,$600
adidas Yeezy Boost 350 V2 Core Black White,2162,$786,$708
adidas Ultra Boost 3.0 Grey Three,330,$160,$139
Air Max 98 White,174,$200,$164
Air Max 270 Dusty Cactus,91,$180,$170
Air Foamposite One Abalone,578,$205,$192
Air Max 98 Gundam 2018 (W),233,$290,$274
adidas Human Race NMD Pharrell Sun Glow,1174,$430,$379
Air Force 1 Low Off-White,1537,"$1,100",$670
Vans Slip-On Yacht Club,17,$75,$65
Nike SF Air Force 1 High Navy Gum,286,$100,$79
Jordan 1 Retro High Flyknit Royal,617,$105,$99
Nike Dunk SB High Waffle,493,$280,$110
Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY White,228,$165,$139
adidas Ultra Boost 3.0 Triple White,2248,$172,$158
Jordan 4 Retro Motorsports Alternate,2604,$180,$165
Jordan 1 Retro UNC,1021,$250,$225
Air VaporMax Plus Triple Black,270,$250,$236
Nike PG 2 Playstation,601,$521,$421
Kyrie 4 Equality Black History Month (2018),722,$165,$165
Flyknit Trainer White Black (2017),2123,$285,$181
Air Foamposite Pro All-Star (2018),247,$230,$217
Air VaporMax Plus Obsidian,199,$250,$220
Air Max 95 Atmos Animal Pack 2.0 (2018 All Black Box),19,$372,$360
Jordan 4 Retro Levi's Denim (Tag with Levi's Logo),1176,"$1,025",$613
Air VaporMax Off-White Black,33,$800,$840
adidas EQT Support 93/17 Triple Black,897,$130,$100
Converse Chuck Taylor All-Star 70s Ox Comme des Garcons PLAY White,217,$250,$114
Nike SF Air Force 1 High Triple Black,285,$126,$115
Jordan 1 Retro Metallic Red (2017),1710,$174,$120
Jordan 13 Retro Olive,525,$140,$145
Jordan 5 Retro Red Suede,2557,$190,$193
Air VaporMax Triple Black 3.0,818,$257,$229
Jordan 12 Retro French Blue (2016),762,$240,$245
adidas Dame 4 A Bathing Ape Black,255,$430,$310
